iter	Passed	Remaining
222	1102	3840
223	1105	3831
224	1109	3821
225	1113	3812
226	1117	3805
227	1121	3797
228	1125	3789
229	1129	3781
230	1134	3775
231	1138	3767
232	1142	3760
233	1147	3755
234	1150	3746
235	1154	3738
236	1158	3729
237	1163	3723
238	1167	3715
239	1170	3706
240	1173	3697
241	1178	3691
242	1182	3682
243	1185	3672
244	1188	3663
245	1193	3657
246	1196	3648
247	1201	3642
248	1204	3633
249	1209	3629
250	1213	3622
251	1217	3612
252	1221	3605
253	1228	3606
254	1231	3598
255	1234	3589
256	1238	3581
257	1243	3575
258	1246	3567
259	1251	3561
260	1256	3557
261	1259	3548
262	1263	3540
263	1266	3532
264	1270	3523
265	1274	3515
266	1277	3507
267	1280	3498
268	1284	3489
269	1287	3480
270	1290	3472
271	1294	3465
272	1298	3458
273	1302	3451
274	1305	3443
275	1309	3434
276	1312	3426
277	1316	3418
278	1319	3410
279	1323	3402
280	1328	3398
281	1332	3393
282	1336	3386
283	1339	3378
284	1343	3369
285	1346	3361
286	1350	3354
287	1353	3347
288	1357	3339
289	1360	3332
290	1364	3324
291	1368	3317
292	1371	3309
293	1374	3301
294	1378	3294
295	1381	3286
296	1385	3279
297	1389	3273
298	1393	3266
299	1396	3258
300	1400	3251
301	1403	3244
302	1407	3237
303	1411	3230
304	1414	3223
305	1418	3216
306	1422	3211
307	1425	3203
308	1429	3197
309	1432	3189
310	1436	3182
311	1440	3176
312	1444	3169
313	1447	3163
314	1452	3159
315	1456	3152
316	1460	3145
317	1463	3138
318	1467	3133
319	1471	3126
320	1475	3121
321	1479	3115
322	1483	3108
323	1486	3101
324	1489	3094
325	1493	3087
326	1496	3080
327	1500	3073
328	1503	3066
329	1506	3059
330	1510	3052
331	1513	3046
332	1517	3039
333	1520	3032
334	1524	3026
335	1527	3019
336	1531	3012
337	1534	3006
338	1538	2999
339	1541	2992
340	1545	2986
341	1548	2979
342	1552	2973
343	1555	2966
344	1559	2959
345	1562	2953
346	1566	2948
347	1571	2943
348	1575	2939
349	1579	2933
350	1582	2926
351	1586	2921
352	1590	2914
353	1595	2911
354	1599	2906
355	1605	2903
356	1608	2897
357	1612	2890
358	1615	2884
359	1620	2881
360	1624	2875
361	1627	2868
362	1631	2862
363	1636	2858
364	1639	2852
365	1643	2846
366	1646	2840
367	1652	2837
368	1656	2832
369	1659	2825
370	1663	2819
371	1669	2818
372	1673	2812
373	1677	2808
374	1682	2804
375	1686	2798
376	1689	2792
377	1693	2786
378	1697	2781
379	1701	2776
380	1705	2770
381	1708	2764
382	1712	2758
383	1716	2753
384	1719	2747
385	1723	2742
386	1728	2737
387	1732	2733
388	1736	2727
389	1740	2722
390	1744	2717
391	1748	2712
392	1752	2706
393	1755	2700
394	1759	2694
395	1763	2690
396	1768	2685
397	1772	2680
398	1776	2676
399	1782	2673
400	1785	2667
401	1789	2661
402	1794	2658
403	1798	2652
404	1801	2646
405	1804	2640
406	1810	2637
407	1813	2631
408	1817	2625
409	1820	2619
410	1826	2618
411	1831	2613
412	1834	2607
413	1839	2603
414	1843	2598
415	1847	2592
416	1850	2586
417	1853	2581
418	1858	2576
419	1861	2570
420	1865	2564
421	1868	2559
422	1873	2555
